text,intent,sub_intent
số ca nhiễm bình định,request_current_number,
tui bị đau đầu có sao ko,request_diagnostic,
chưa,ok,
là sao,request_information,
que test 2 vạch là sao,request_information,
thực hiện bài tập nhưu nào,request_information,
giãn cơ có những bài tập nào,request_symptom,
giãn cơ như nào,request_information,
thực hiện bài tập nào,request_healthcare,
giãn cơ có những bài tập nào,request_symptom,
alo,hello,
thực hiện bài tập như nào á,request_information,
giãn cơ có những bài tập nào,request_symptom,
giãn cơ cánh tay,inform,
cảm ơn,ok,
tui bị ho có sao k,request_diagnostic,
chưa,ok,
là sao,request_information,
có,inform,
mẫu gộp âm tính là sao,request_test,
tui bị ho có sao ko,request_diagnostic,
có,inform,
liên hệ như nào,request_contact,
liên hệ như nào,request_contact,
liên hệ như nào,request_contact,
liên hệ như nào á,request_contact,
liên hệ như nào á,request_contact,
LIÊN HỆ NHƯ NÀO Á,request_contact,
Q111111,inform,
Q5,inform,
lo,request_healthcare,
số ca nhiễm nhiêu á,request_current_number,
lo,request_healthcare,
số ca nhiễm nhiêu á,request_current_number,
tôi bị ho vs khó thở có sao ko,request_diagnostic,
lo,request_healthcare,
tôi bị ho có sao ko,request_diagnostic,
chưa,ok,
số ca nhiễm nhiêu á,request_current_number,
tôi bị ho có sao ko,request_diagnostic,
lác ác ac,other,
có,inform,
mình bị ho vs khó thở có sao ko ạ,request_diagnostic,
mình bị ho vs đau đầu có sao  ko ạ,request_diagnostic,
là sao,request_information,
mình bị ho sao ko,request_diagnostic,
là sao,request_information,
có,inform,
số ca nhiễm nhiu á,request_current_number,
chỉ thị 16 là gì,request_information,
số ca nhiễm bình định nhiu á,request_current_number,
thực hiện bài tập như nào,request_information,
giãn cơ có những bài tập nào,request_symptom,
giãn cơ đùi,inform,
thực hiện bài tập như nào,request_information,
giãn cơ có những bài tập nào,request_symptom,
giãn cơ đùi,inform,
chỉ thị 16 là gì á,request_information,
số ca nhiễm gia lai nhiêu á,request_current_number,
chir thij 16 là gì,request_information,
là sao,request_information,
số ca nhiễm nhiêu á,request_current_number,
là sao,request_information,
số ca nhiễm nhiêu á,request_current_number,
là sao,request_information,
số ca nhiễm nhiêu á,request_current_number,
tui bị ho có sao ko,request_diagnostic,
là sao,request_information,
tôi bị ho có sao ko,request_diagnostic,
là sao,request_information,
tôi bị ho có sao ko,request_diagnostic,
số ca nhiễm nhiêu á,request_current_number,
chỉ thị 16 là gì,request_information,
số ca nhiễm nhiêu á,request_current_number,
thực hiện bài tập như nào,request_information,
giãn cơ có những bài tập nào,request_symptom,
giãn cơ đùi,inform,
tôi bị ho có sao ko,request_diagnostic,
là sao,request_information,
tôi bị ho có sao ko,request_diagnostic,
tôi bị ho có sao ko,request_diagnostic,
là sao,request_information,
tôi bị ho có sao ko,request_diagnostic,
chưa,ok,
có,inform,
liên hệ như nào á,request_contact,
q8,inform,
chỉ thị 18 là gì,request_information,
số ca nhiễm nhieu á,request_current_number,
tôi bị ho có sao ko ạ,request_diagnostic,
có,inform,
tôi bị khó thở có sao ko ạ,request_diagnostic,
tôi bị ho có sao ko ạ,request_diagnostic,
là sao,request_information,
tôi bị khó thở có sao ko,request_diagnostic,
tôi bị ho có sao ko,request_diagnostic,
tôi bị ho có sao ko ạ,request_diagnostic,
tôi bị khó thở có sao ko ạ,request_diagnostic,
tôi bị ho có sao ko ạ,request_diagnostic,
không,inform,
tôi bị khó thở có sao ko ạ,request_diagnostic,
tôi bị ho có sao ko ạ,request_diagnostic,
tôi bị khó thở có sao ko ạ,request_diagnostic,
tôi bị ho có sao ko ạ,request_diagnostic,
chỉ thị 16 là gì á,request_information,
số ca nhiễm nhiêu á,request_current_number,
tôi bị đau đầu có sao ko,request_diagnostic,
số ca nheiemx nhiêu á,request_current_number,
tôi bị ho có sao ko,request_diagnostic,
là sao,request_information,
tôi bị khó thở có sao ko,request_diagnostic,
tôi bị ho có sao ko,request_diagnostic,
rồi,inform,
test nhanh,inform,
dương tính,inform,
alo,hello,
tôi ở nước ngoài về có nguy cơ nhiễm covid không,request_information,
tôi vừa ở nước ngoài về thì có phải cách ly không,request_rule,
chỉ thị 16 là gì,request_information,
tôi bị gay,request_diagnostic,
tôi bị ho,request_diagnostic,
bị gay có chữa được không,request_healthcare,
tôi bị ốm cần đến cơ sở y tế để khám chữa bệnh thì phải làm gì,request_prevention,
tôi bị gay thì cần phải làm gì,request_healthcare,
tôi bị gay,request_diagnostic,
chỉ thị 16 là gì,request_information,
giãn cách theo chỉ thị 16 là gì,request_rule,
tôi bị ho thì có khả năng nhiễm covid không,request_diagnostic,
dạ chưa,inform,
có,inform,
tôi có nên tiêm vắc-xin mũi 3 không,request_vaccine,
vắc xin covid 19 có thể làm tôi mắc bệnh covid 19 không,request_vaccine,
Hiện nay tại Việt Nam có thể tiêm những loại vắc-xin nào ?,request_vaccine,
việt nam có bao nhiêu biến thể,request_information,
Việt Nam có bao nhiêu vắc-xin,request_vaccine,
không,inform,
tạm biệt bạn,request_information,
chào,hello,
ở tmt có ai đang covid không,request_information,
không phải,request_prevention,
tôi là f3 thì có phải cách ly k,request_rule,
tôi là f0 thì có phải cách ly k,request_rule,
tôi là f2 thì có phải cách ly không,request_rule,
 f2 có cách ly k,request_rule,
f2 có cách ly không,request_rule,
tôi đang ho,request_diagnostic,
chưa ,ok,
có,inform,
rồi lỡ tiếp xúc rồi thì sao,request_information,
tôi f0 tiếp xúc với mẹ thì mẹ có f0 không,request_information,
al,other,
alo,hello,
số ca nhiễm là bao nhiêu nhỉ,request_current_number,
mình bị đau bụng có nguy cơ nhiễm không nghỉ,request_diagnostic,
alo,hello,
chỉ thị 16 là gì ,request_information,
giãn cách theo chỉ thị 16 là gì,request_rule,
mình bị ho thì có khả năng nhiễm bệnh ko,request_diagnostic,
dạ chưa,inform,
có,inform,
mình muốn liên hệ bác sĩ thì làm thế nào,request_contact,
quận 3,inform,
thực hiện test nhanh như thế nào,request_information,
triệu chứng của covid là gì,request_symptom,
triệu chứng nặng nguy hiểm của covid 19 là gì,request_symptom,
triệu chứng của covid là gì,request_symptom,
biến chứng của covid 19 là gì,request_information,
Oke,ok,
Mình bị khó thở,request_diagnostic,
số ca nhiễm gia lai,request_current_number,
mình bị đau bụng có sao ko,request_diagnostic,
cảm ơn,ok,
có,inform,
cảm ơn,ok,
Ok ,ok,
mình bị đau bụng có sao ko,request_diagnostic,
mình bị ho có sao ko,request_diagnostic,
mình bị đau bụng có sao ko,request_diagnostic,
mình bị ho có saoko,request_diagnostic,
chưa á,ok,
rồi,inform,
cảm ơn ạ,ok,
có,inform,
số ca nhiễm bao nhiêu á,request_current_number,
số ca nhiễm ở gia lai,request_current_number,
số ca nhiễm ở gia lai bao nhiêi,request_current_number,
số ca nhiễm ở gia lai bao nhiêu á,request_current_number,
số ca nhiễm hiện nay là bao nhiêu,request_current_number,
số ca nhiễm hiện nay ở bình định,request_current_number,
số ca nhiễm bao nhiêu,request_current_number,
số ca nhiễm ở sài gòn,request_current_number,
số ca nhiễm ở bình dương,request_current_number,
số ca nhiễm ở vĩnh long,request_current_number,
số ca nhiễm ở vn,request_information,
số ca nhiễm ở việt nam là bao nhiêu,request_current_number,
tỉnh thành phố nào có số ca nhiễm mới nhiều nhất,request_current_number,
số ca nhiễm ở gia lai,request_current_number,
số ca nhiễm bao nhiêu á,request_current_number,
số ca nhiễm bao nhiêu á,request_current_number,
Các thuốc điều trị tại nhà cho bệnh nhân covid là gì,request_medicine,
Alo,hello,
Khi nào cần kiểm tra sức khỏe hậu covid,request_symptom,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
Cần tập gì để cải thiện phổi hậu covid,request_healthcare,
tôi cần tập gì để cải thiện phổi bị tổn thương hậu covid 19,request_healthcare,
Tôi bị ho có phải nhiễm covid không,request_diagnostic,
Có,inform,
rồi á,inform,
test nhanh,inform,
dương tính,inform,
Ok cảm ơn,ok,
Các thuốc điều trị tại nhà cho bệnh nhân covid là gì vậy,request_medicine,
Các thuốc điều trị tin nhà cho bệnh nhân covid là gì,request_medicine,
Khi nào tôi cần kiểm tra sức khỏe hậu covid,request_symptom,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
Các thuốc điều trị tại nhà cho bệnh nhân covid là gì,request_medicine,
Khi nào tôi cần kiểm tra sức khỏe hậu covid vậy ,request_symptom,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
Các thuốc điều trị tại nhà cho bệnh nhân covid là gì,request_medicine,
Khi nào tôi cần đi khám sức khỏe hậu covid,request_information,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
Tôi cần tập gì để cải thiện phổi hậu covid,request_healthcare,
tôi cần tập gì để cải thiện phổi bị tổn thương hậu covid 19,request_healthcare,
Tôi bị ho có phải nhiễm covid không,request_diagnostic,
Rồi,inform,
rồi á,inform,
test nhanh,inform,
dương tính,inform,
OK cảm ơn,ok,
các thuốc điều trị tại nhà cho bệnh nhân covid là gì vậy,request_medicine,
toa thuốc để điều trị covid tại nhà là gì,request_medicine,
các thuốc điều trị tại nhà cho bệnh nhân covid là gì,request_medicine,
khi nào toi cần đi khám sức khỏe hậu covid,request_information,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
tôi cần tập gì để cải thiện phổi hậu covid,request_healthcare,
tôi cần tập gì để cải thiện phổi bị tổn thương hậu covid 19,request_healthcare,
tôi bị ho có nhiễm covid không,request_diagnostic,
test rồi,inform,
test nhanh,inform,
âm tính,inform,
không,inform,
không,inform,
các thuốc điều trị tại nhà cho bệnh nhân covid là gì,request_medicine,
khi nào tôi cần đi khám sức khỏe hậu covid,request_information,
tôi cần đến bệnh viện để kiểm tra sức khỏe hậu covid 19 khi nào,request_symptom,
tôi cần tập gì để cải thiện phổi hậu covid,request_healthcare,
tôi cần tập gì để cải thiện phổi bị tổn thương hậu covid 19,request_healthcare,
tôi bị ho có nhiễm covid không,request_diagnostic,
rồi,inform,
test nhanh,inform,
âm tính,inform,
không,inform,
không,inform,
tôi nói chuyện người f0 có cần cách ly không,request_rule,
tôi nói chuyện với người nghi nhiễm covid 19 thì có phải cách ly không,request_rule,
Không,inform,
Hi,hello,
Hi,hello,
Mình bị đau họng,request_diagnostic,
al,other,
tui bị ho có sao ko,request_diagnostic,
chhu,other,
chưa á,ok,
có,inform,
alo,hello,
tôi bị covid có phải cách ly không,request_rule,
tôi bị covid có phải cách ly không,request_rule,
người nhà tôi là f0 thì tôi có phải cách ly không,request_rule,
cách đeo khẩu trang y tế là gì,request_prevention,
cách đeo khẩu trang y tế là gì,request_prevention,
cách đeo khẩu trang y tế là gì,request_prevention,
cách đeo khẩu trang y tế là gì,request_prevention,
tôi phải dùng thuốc như thế nào khi bị sốt,request_medicine,
tôi phải dùng thuốc như thế nào khi bị sốt,request_medicine,
alo,hello,
alo,hello,
các bệnh nền và yếu tố nguy cơ lây nhiễm covid 19 là gì,request_symptom,
các bệnh nền và yếu tố nguy cơ lây nhiễm covid 19 là gì,request_symptom,
hello,ok,
covid,request_information,
covid 19 là gì,request_information,
mình bị đau họng,request_diagnostic,
dạ chưa,inform,
không,inform,
có,inform,
vậy giờ phải làm sao,request_healthcare,
hello,ok,
mình có bị bệnh không,request_diagnostic,
mình có bị covid không,request_diagnostic,
nhưng hồi nãy nói có mà,request_information,
sao kỳ vậy,request_information,
"giận rồi, nghỉ chơi",request_information,
tôi đi chơi với 1 nhóm bạn trong đó có người bị dương tính covid 19 mà tôi đã xét nghiệm âm tính thì có phải cách ly không,request_rule,
vậy là mình cần cách ly hay không cách ly,request_prevention,
Tôi bị ung thư thì có tiêm vaccine được ko,request_vaccine,
Alo,hello,
Máy đo spo2 có xài pin không,request_device,
Alo,hello,
Tui bị ung thư thì có nên tiêm vaccine không,request_vaccine,
Tôi bị ung thư có nên tiêm vaccine hay ko,request_vaccine,
Nếu tôi bị bệnh nền có nên tiêm vaccine hay không,request_vaccine,
Ưu điểm của nhiệt kế điện tử,request_device,
đưa nhiệt kế điện tử cách trán bao nhiêu cm,request_device,
Nên mua máy đo spo2 ở đâu,request_device,
mua dụng cụ y tế ở đâu,request_device,
Ưu điểm khẩu trang n95,request_device,
Spo2 thấp có phải tôi bị covid không,request_diagnostic,
Biến chứng viêm cơ tim sau tiêm vaccin là gì á ,request_vaccine,
biến chứng viêm cơ tim sau tiêm vaccine là gi,request_vaccine,
Tỉnh Bình Định có bao nhiêu ca tử vong,request_current_number,
Khẩu trang vải,request_device,
Khẩu trang y tế,request_prevention,
Số ca nhiễm mới ở Bình Định,request_current_number,
Khẩu trang tôi bị rách thì có xài lại không,request_prevention,
Có xài lại khẩu trang rách không,request_prevention,
Số ca nhiễm mới hôm nay ở tphcm ,request_current_number,
khẩu trang vải có giặt được không,request_prevention,
tôi bị ung thư có cần tiêm vaccine covid 19 không,request_vaccine,
Có thay khẩu trang y tế,request_prevention,
khi nào cần thay khẩu trang y tế,request_prevention,
những đối tượng cần tiêm vaccine covid 19,request_vaccine,
đối tượng được ưu tiên tiêm vaccine covid 19,request_vaccine,
Máy đo nồng độ oxy có xài pin không,request_device,
Nếu tôi bị bệnh nền có nên tiêm vaccine hay không,request_vaccine,
Việt Nam có bao nhiêu biến thể,request_information,
Biến thể là gì,request_information,
Biến thể an pha là gì,request_information,
Hôm nay có bao nhiêu ca nhiễm mới ở Phú Yên,request_current_number,
Phú Yên hôm nay có bao nhiêu ca nhiễm mới,request_current_number,
Nếu tôi bị bệnh nền có nên tiêm vaccine hay không,request_vaccine,
Có bao nhiêu ca nhiễm mới,request_current_number,
Hồ chí minh số ca nhiễm,request_information,
tỉnh thành phố nào có số ca nhiễm mới nhiều nhất,request_current_number,
Tỉnh Phú yên có bao nhiêu ca nhiễm,request_current_number,
"Tôi test nhanh 2 lần đều cho ra kết quả âm tính nhưng lại bị  mất khứu giác (chỉ ngửi được 1 chút), ho, sổ mũi,... vậy tôi có bị dương tính không?",request_diagnostic,
Tỉnh Phú Yên có bao nhiêu ca tử vong,request_current_number,
Số ca tử vong,request_current_number,
Số ca tử vong,request_current_number,
Số tử vong,request_information,
tỉnh thành phố nào có số ca tử vong nhiều nhất,request_current_number,
Tử vong,request_information,
tỉnh thành phố hôm nay có bao nhiêu tử vong,request_current_number,
Tỉnh Phú Yên có bao nhiêu ca nhiễm mới,request_current_number,
Chăm sóc F0 tại nhà có cần máy đo huyết áp không?,request_device,
Alo,hello,
Chăm sóc F0 tại nhà có cần máy đo huyết áp không?,request_device,
Alo,hello,
Sự khác biệt của cúm và covid,request_information,
sự khác biệt giữa covid 19 bệnh cúm là gì,request_information,
Tôi bị đau cơ nên uống gì,request_healthcare,
Alo,hello,
Tôi bị đau cơ nên uống gì,request_healthcare,
